headline
Andre Russell presented with 'bat guitar' to mark his final international match
"Black Sabbath's Ozzy Osbourne, known as godfather of heavy metal, passes away"
Mohammad Nabi's 18-year-old son hits him for six on his first ball in T20 match
BCCI to come under National Sports Governance Bill
US deploys nuclear weapons in UK: Reports
